State,AverageRetirementAge
Washington,64
Oregon,63
California,64
Idaho,63
Nevada,63
Arizona,63
Montana,63
Wyoming,65
Utah,65
New Mexico,63
North Dakota,64
South Dakota,64
Nebraska,65
Kansas,64
Oklahoma,63
Texas,64
Minnesota,63
Iowa,64
Missouri,62
Arkansas,62
Louisiana,63
Wisconsin,63
Illinois,63
Kentucky,62
Tennesee,63
Mississippi,63
Alabama,62
Florida,63
Indiana,63
Michigan,62
Ohio,63
Alabama,62
Georgia,63
West Virginia,62
Virginia,64
North Carolina,63
South Carolina,62
Maryland,64
Delaware,63
Pennsyvania,63
New Jersey,65
New York,63
Vermont,64
New Hampshire,64
Massachusetts,65
Maine,64
Connecticut,65
Alaska,64
Hawaii,64
